iter	Passed	Remaining
721	2278	877
722	2281	874
723	2284	871
724	2287	867
725	2290	864
726	2293	861
727	2296	857
728	2298	854
729	2301	851
730	2304	847
731	2307	844
732	2309	841
733	2312	838
734	2315	834
735	2318	831
736	2321	828
737	2324	825
738	2326	821
739	2329	818
740	2332	815
741	2335	811
742	2338	808
743	2341	805
744	2344	802
745	2347	799
746	2349	795
747	2352	792
748	2355	789
749	2358	786
750	2361	783
751	2364	779
752	2367	776
753	2370	773
754	2374	770
755	2377	767
756	2379	763
757	2382	760
758	2385	757
759	2388	754
760	2391	751
761	2394	747
762	2397	744
763	2400	741
764	2402	738
765	2406	735
766	2408	731
767	2411	728
768	2414	725
769	2417	722
770	2420	718
771	2423	715
772	2426	712
773	2429	709
774	2431	706
775	2434	702
776	2437	699
777	2440	696
778	2443	693
779	2446	689
780	2448	686
781	2451	683
782	2454	680
783	2457	677
784	2460	673
785	2463	670
786	2465	667
787	2468	664
788	2471	661
789	2474	657
790	2477	654
791	2480	651
792	2483	648
793	2486	645
794	2489	641
795	2492	638
796	2495	635
797	2498	632
798	2501	629
799	2503	625
800	2506	622
801	2509	619
802	2512	616
803	2515	613
804	2518	609
805	2520	606
806	2523	603
807	2526	600
808	2529	597
809	2532	594
810	2535	590
811	2538	587
812	2541	584
813	2543	581
814	2547	578
815	2550	575
816	2552	571
817	2555	568
818	2558	565
819	2561	562
820	2564	559
821	2567	556
822	2570	552
823	2573	549
824	2576	546
825	2578	543
826	2581	540
827	2584	536
828	2587	533
829	2590	530
830	2593	527
831	2596	524
832	2599	521
833	2601	517
834	2604	514
835	2607	511
836	2610	508
837	2613	505
838	2616	502
839	2619	498
840	2621	495
841	2624	492
842	2627	489
843	2630	486
844	2633	483
845	2636	479
846	2639	476
847	2641	473
848	2644	470
849	2647	467
850	2650	464
851	2653	460
852	2656	457
853	2658	454
854	2661	451
855	2664	448
856	2667	445
857	2670	441
858	2673	438
859	2675	435
860	2678	432
861	2681	429
862	2684	426
863	2687	423
864	2690	419
865	2693	416
866	2695	413
867	2698	410
868	2701	407
869	2704	404
870	2707	401
871	2710	397
872	2713	394
873	2716	391
874	2719	388
875	2722	385
876	2725	382
877	2728	379
878	2731	375
879	2734	372
880	2737	369
881	2740	366
882	2742	363
883	2745	360
884	2748	357
885	2751	354
886	2754	350
887	2757	347
888	2760	344
889	2762	341
890	2765	338
891	2768	335
892	2771	332
893	2774	328
894	2777	325
895	2780	322
896	2783	319
897	2786	316
898	2789	313
899	2792	310
900	2795	307
901	2797	303
902	2800	300
903	2803	297
904	2806	294
905	2809	291
906	2812	288
907	2815	285
908	2817	282
909	2821	279
910	2823	275
911	2826	272
912	2829	269
913	2832	266
914	2835	263
915	2838	260
916	2841	257
917	2844	254
918	2847	251
919	2850	247
920	2853	244
921	2856	241
922	2859	238
923	2862	235
924	2865	232
925	2868	229
926	2871	226
927	2874	223
928	2877	219
929	2880	216
930	2883	213
931	2886	210
932	2889	207
933	2892	204
934	2894	201
935	2897	198
936	2900	195
937	2903	191
938	2906	188
939	2909	185
940	2912	182
941	2915	179
942	2918	176
943	2921	173
944	2923	170
945	2926	167
946	2929	163
947	2932	160
948	2935	157
949	2938	154
950	2941	151
951	2944	148
952	2947	145
953	2950	142
954	2953	139
955	2956	136
956	2959	132
957	2963	129
958	2966	126
959	2969	123
960	2972	120
961	2976	117
962	2979	114
963	2982	111
964	2985	108
965	2988	105
966	2991	102
967	2994	98
968	2997	95
969	3000	92
970	3003	89
971	3006	86
972	3009	83
973	3012	80
974	3015	77
975	3018	74
976	3020	71
977	3024	68
978	3027	64
979	3030	61
980	3033	58
981	3035	55
982	3038	52
983	3041	49
984	3044	46
985	3047	43
986	3050	40
987	3053	37
988	3056	33
989	3059	30
990	3062	27
991	3064	24
992	3067	21
993	3070	18
994	3073	15
995	3076	12
996	3079	9
997	3082	6
998	3085	3
999	3087	0
